id,last_scraped,host_location,neighbourhood_group_cleansed,latitude,longitude,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,reviews_per_month
42212562,2020-10-13,ES,Ciutat Vella,41.38092,2.17469,1.0,0.0,$13.00,t,12,42,72,347,2020-10-13,6,87.0,0.75
42213588,2020-10-15,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37795,2.13463,1.0,3.0,$59.00,t,0,0,0,196,2020-10-15,0,,
42214536,2020-10-14,"Barcelona, Catalonia, Spain",Sarrià-Sant Gervasi,41.40238,2.14969,1.0,1.0,$50.00,t,21,37,58,333,2020-10-14,7,100.0,0.89
42214539,2020-10-14,"Barcelona, Catalunya, Spain",Ciutat Vella,41.36786,2.18892,4.0,7.0,$170.00,t,30,60,90,365,2020-10-14,0,,
42214702,2020-10-14,ES,Sant Martí,41.41146,2.17707,1.0,2.0,$30.00,t,0,0,0,0,2020-10-14,0,,
42214908,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.403929999999995,2.17332,1.0,1.0,$36.00,t,10,10,10,10,2020-10-12,1,100.0,0.13
42221838,2020-10-15,"Barcelona, Catalonia, Spain",Horta-Guinardó,41.4198,2.15867,2.0,4.0,$46.00,t,30,60,90,365,2020-10-15,0,,
42222494,2020-10-14,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37428,2.1676599999999997,2.0,6.0,$170.00,t,0,0,0,0,2020-10-14,0,,
42224903,2020-10-12,ES,Ciutat Vella,41.38002,2.16339,1.0,,$25.00,t,30,60,90,90,2020-10-12,0,,
42225016,2020-10-16,"Barcelona, Catalonia, Spain",Eixample,41.39144,2.1638599999999997,1.0,2.0,$165.00,t,0,0,0,46,2020-10-16,1,100.0,0.14
42225508,2020-10-14,"Barcelona, Catalonia, Spain",Horta-Guinardó,41.43837,2.15585,1.0,1.0,$31.00,t,0,0,0,0,2020-10-14,0,,
42225541,2020-10-17,ES,Eixample,41.391729999999995,2.15711,1.0,,$97.00,t,30,60,90,365,2020-10-17,0,,
42225672,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.39014,2.16622,2.0,2.0,$126.00,t,0,0,0,0,2020-10-12,0,,
42226195,2020-10-14,ES,Sants-Montjuïc,41.371759999999995,2.12768,1.0,,$45.00,t,29,59,89,179,2020-10-14,0,,
42230982,2020-10-14,"Barcelona, Catalonia, Spain",Sarrià-Sant Gervasi,41.39809,2.14759,1.0,1.0,$25.00,t,0,0,0,0,2020-10-14,0,,
42235599,2020-10-15,"Barcelona, Catalonia, Spain",Sant Martí,41.39386,2.1953400000000003,1.0,1.0,$20.00,t,30,47,47,47,2020-10-15,10,80.0,1.24
42236800,2020-10-12,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.372609999999995,2.16166,1.0,1.0,$70.00,t,30,60,90,365,2020-10-12,0,,
42237108,2020-10-14,"Barcelona, Catalonia, Spain",Sant Andreu,41.42811,2.1871400000000003,1.0,0.0,$13.00,t,29,59,89,179,2020-10-14,0,,
42237518,2020-10-17,ES,Gràcia,41.40197,2.15318,3.0,4.0,$86.00,t,29,59,89,179,2020-10-17,0,,
42237835,2020-10-16,ES,Ciutat Vella,41.38109,2.17571,,1.0,$100.00,t,0,0,0,0,2020-10-16,2,100.0,0.26
42238473,2020-10-14,ES,Gràcia,41.40062,2.15322,3.0,3.0,$85.00,t,0,0,23,113,2020-10-14,0,,
42239699,2020-10-15,"Barcelona, Catalonia, Spain",Sant Martí,41.39484,2.19538,1.0,1.0,$23.00,t,28,45,45,57,2020-10-15,6,90.0,0.78
42240619,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38219,2.16033,2.0,3.0,$59.00,t,23,53,83,254,2020-10-12,7,91.0,0.96
42242294,2020-10-13,"Barcelona, Catalonia, Spain",Ciutat Vella,41.379259999999995,2.17555,1.0,1.0,$59.00,t,30,60,90,90,2020-10-13,5,100.0,0.62
42242373,2020-10-16,ES,Horta-Guinardó,41.42091,2.15262,1.0,1.0,$24.00,t,30,46,46,46,2020-10-16,1,,0.13
42243304,2020-10-12,FR,Ciutat Vella,41.379129999999996,2.16454,,1.0,$85.00,t,30,60,90,180,2020-10-12,1,60.0,0.14
42243446,2020-10-14,ES,Eixample,41.39536,2.17481,1.0,1.0,$30.00,t,0,0,0,0,2020-10-14,0,,
42243494,2020-10-14,"Barcelona, Catalonia, Spain",Sant Martí,41.39522,2.19706,1.0,1.0,$20.00,t,26,44,44,44,2020-10-14,9,91.0,1.19
42244263,2020-10-14,"Barcelona, Catalonia, Spain",Sant Martí,41.39564,2.19582,1.0,2.0,$20.00,t,28,46,46,89,2020-10-14,3,93.0,0.4
42246649,2020-10-14,ES,Ciutat Vella,41.37559,2.1726900000000002,,1.0,$75.00,t,0,0,0,0,2020-10-14,2,60.0,0.26
42246900,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.3867,2.15801,1.0,2.0,$68.00,t,1,31,61,336,2020-10-17,1,100.0,0.38
42246945,2020-10-13,ES,Eixample,41.392509999999994,2.17319,2.0,5.0,$95.00,t,29,59,89,90,2020-10-13,0,,
42249166,2020-10-12,"Badolato, Calabria, Italy",Ciutat Vella,41.38487,2.18,1.0,2.0,$28.00,t,30,60,90,90,2020-10-12,1,,0.13
42249336,2020-10-13,"Moscow, Russia",Eixample,41.39358,2.16643,1.0,2.0,$54.00,t,19,49,79,354,2020-10-13,0,,
42249998,2020-10-14,"Barcelona, Catalonia, Spain",Sant Martí,41.39912,2.20736,2.0,2.0,$38.00,t,29,59,89,259,2020-10-14,0,,
42250002,2020-10-13,ES,Eixample,41.41017,2.1739599999999997,1.0,,$97.00,t,30,60,90,365,2020-10-13,0,,
42251677,2020-10-12,"Barcelona, Catalonia, Spain",Ciutat Vella,41.381190000000004,2.19112,1.0,2.0,$25.00,t,0,0,0,0,2020-10-12,1,100.0,0.16
42254274,2020-10-14,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37296,2.1705200000000002,1.0,1.0,$50.00,t,30,60,90,365,2020-10-14,0,,
42255133,2020-10-14,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37252,2.17036,1.0,,$25.00,t,30,60,90,365,2020-10-14,3,100.0,0.39
42255310,2020-10-15,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37283,2.17048,2.0,1.0,$150.00,t,30,60,90,365,2020-10-15,0,,
42261876,2020-10-16,"Barcelona, Catalonia, Spain",Sant Martí,41.39367,2.19506,1.0,2.0,$28.00,t,0,0,0,0,2020-10-16,14,93.0,1.72
42262604,2020-10-16,"Sitges, Catalunya, Spain",Sant Martí,41.40125,2.2080599999999997,4.0,4.0,$150.00,t,3,3,3,130,2020-10-16,0,,
42263118,2020-10-16,ES,Sants-Montjuïc,41.36849,2.14605,1.0,6.0,$120.00,t,29,59,89,179,2020-10-16,0,,
42263516,2020-10-17,"Barcelona, Catalonia, Spain",Sant Martí,41.41243,2.19699,3.0,6.0,$140.00,t,0,0,0,131,2020-10-17,0,,
42264373,2020-10-15,"Minsk, Minsk Region, Belarus",Sant Martí,41.4165,2.21492,3.0,3.0,$9.00,t,30,60,90,365,2020-10-15,1,60.0,0.23
42265539,2020-10-16,"Barcelona, Catalonia, Spain",Ciutat Vella,41.384190000000004,2.18111,1.0,,$48.00,t,0,0,0,0,2020-10-16,1,100.0,0.13
42266676,2020-10-15,ES,Ciutat Vella,41.38049,2.1750599999999998,,3.0,$27.00,t,0,14,44,211,2020-10-15,5,88.0,0.63
42267157,2020-10-15,ES,Eixample,41.40586,2.1749,3.0,3.0,$79.00,t,0,0,0,16,2020-10-15,2,90.0,0.26
42267766,2020-10-16,ES,Eixample,41.399370000000005,2.17495,3.0,5.0,$66.00,t,0,0,0,0,2020-10-16,2,100.0,0.27
42268112,2020-10-15,ES,Gràcia,41.39765,2.1562799999999998,3.0,4.0,$66.00,t,0,0,22,115,2020-10-15,2,90.0,0.28
42270466,2020-10-16,"Barcelona, Cataluña, Spain",Sarrià-Sant Gervasi,41.40765,2.13912,1.0,1.0,$20.00,t,30,60,90,365,2020-10-16,0,,
42270559,2020-10-16,ES,Ciutat Vella,41.37885,2.1787099999999997,1.0,,$34.00,t,0,0,0,0,2020-10-16,14,93.0,1.74
42271564,2020-10-15,ES,Eixample,41.38279,2.14549,1.0,,$51.00,t,29,59,89,89,2020-10-15,0,,
42271601,2020-10-12,ES,Eixample,41.40679,2.17355,1.0,1.0,$69.00,t,30,60,90,90,2020-10-12,2,100.0,0.26
42276015,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.4056,2.17251,1.0,2.0,$95.00,t,0,0,0,0,2020-10-12,1,,0.14
42278726,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.37721,2.17178,1.0,1.0,$19.00,t,13,30,30,30,2020-10-15,0,,
42279199,2020-10-17,ES,Sant Martí,41.41084,2.21868,,,$0.00,t,0,0,0,0,2020-10-17,0,,
42284165,2020-10-12,"Espinardo, Región de Murcia, Spain",Eixample,41.39864,2.16827,8.0,14.0,$468.00,t,30,60,86,348,2020-10-12,0,,
42286090,2020-10-15,"Barcelona, Catalonia, Spain",Sant Martí,41.40482,2.21525,4.0,7.0,$105.00,t,0,0,0,30,2020-10-15,14,97.0,1.84
42287517,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.39375,2.1712599999999997,2.0,3.0,$130.00,t,30,60,90,350,2020-10-17,0,,
42287967,2020-10-12,ES,Eixample,41.387190000000004,2.16913,1.0,3.0,$25.00,t,0,0,0,0,2020-10-12,12,83.0,1.62
42289440,2020-10-13,ES,Ciutat Vella,41.378029999999995,2.16942,1.0,2.0,$13.00,t,10,40,70,345,2020-10-13,5,76.0,0.65
42290328,2020-10-16,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37274,2.15919,1.0,1.0,$100.00,t,0,0,0,0,2020-10-16,0,,
42290854,2020-10-14,"Barcelona, Catalonia, Spain",Sant Martí,41.41754,2.1986,2.0,2.0,$55.00,t,30,60,90,180,2020-10-14,0,,
42291024,2020-10-14,"Barcelona, Catalonia, Spain",Eixample,41.38556,2.1459599999999996,1.0,1.0,$55.00,t,30,60,90,180,2020-10-14,0,,
42295115,2020-10-14,"Barcelona, Catalonia, Spain",Horta-Guinardó,41.41883,2.1712700000000003,,,$15.00,t,30,60,90,365,2020-10-14,0,,
42297026,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.38991,2.17468,1.0,1.0,$55.00,t,0,0,0,0,2020-10-17,0,,
42304216,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.400890000000004,2.18108,1.0,1.0,$75.00,t,0,0,0,0,2020-10-12,0,,
42305354,2020-10-14,"Barcelona, Catalonia, Spain",Eixample,41.37834,2.15804,,1.0,$40.00,t,28,58,88,363,2020-10-14,0,,
42308158,2020-10-14,ES,Eixample,41.39583,2.1759,1.0,,$50.00,t,0,0,0,0,2020-10-14,1,100.0,0.13
42308368,2020-10-14,"Barcelona, Catalonia, Spain",Gràcia,41.40401,2.16384,1.0,1.0,$120.00,t,30,60,90,90,2020-10-14,0,,
42309486,2020-10-16,ES,Ciutat Vella,41.38387,2.16915,1.0,1.0,$55.00,t,30,60,90,365,2020-10-16,2,100.0,0.27
42310098,2020-10-17,"Barcelona, Catalonia, Spain",Sarrià-Sant Gervasi,41.40463,2.1381900000000003,,1.0,$40.00,t,0,0,0,0,2020-10-17,0,,
42311506,2020-10-15,US,Sants-Montjuïc,41.37587,2.14368,2.0,3.0,$150.00,t,22,52,82,172,2020-10-15,0,,
